date_id;year;month;day;day_of_week;week
20180711;2018;7;11;4;28
20180712;2018;7;12;5;28
20180713;2018;7;13;6;28
20180714;2018;7;14;7;28
20180715;2018;7;15;1;29
20180716;2018;7;16;2;29
20180717;2018;7;17;3;29
20180718;2018;7;18;4;29
20180719;2018;7;19;5;29
20180720;2018;7;20;6;29
20180721;2018;7;21;7;29
20180722;2018;7;22;1;30
20180723;2018;7;23;2;30
20180724;2018;7;24;3;30
20180725;2018;7;25;4;30
20180726;2018;7;26;5;30
20180727;2018;7;27;6;30
20180728;2018;7;28;7;30
20180729;2018;7;29;1;31
20180730;2018;7;30;2;31
20180731;2018;7;31;3;31
20180801;2018;8;1;4;31
20180802;2018;8;2;5;31
20180803;2018;8;3;6;31
20180804;2018;8;4;7;31
20180805;2018;8;5;1;32
20180806;2018;8;6;2;32
20180807;2018;8;7;3;32
20180808;2018;8;8;4;32
20180809;2018;8;9;5;32
20180810;2018;8;10;6;32
20180811;2018;8;11;7;32
20180812;2018;8;12;1;33
20180813;2018;8;13;2;33
20180814;2018;8;14;3;33
20180815;2018;8;15;4;33
20180816;2018;8;16;5;33
20180817;2018;8;17;6;33
20180818;2018;8;18;7;33
20180819;2018;8;19;1;34
20180820;2018;8;20;2;34
20180821;2018;8;21;3;34
20180822;2018;8;22;4;34
20180823;2018;8;23;5;34
20180824;2018;8;24;6;34
20180825;2018;8;25;7;34
20180826;2018;8;26;1;35
20180827;2018;8;27;2;35
20180828;2018;8;28;3;35
20180829;2018;8;29;4;35
20180830;2018;8;30;5;35
20180831;2018;8;31;6;35
20180901;2018;9;1;7;35
20180903;2018;9;3;2;36
20180904;2018;9;4;3;36
20180905;2018;9;5;4;36
20180906;2018;9;6;5;36
20180908;2018;9;8;7;36
20180910;2018;9;10;2;37
20180911;2018;9;11;3;37
20180912;2018;9;12;4;37
20180913;2018;9;13;5;37
20180914;2018;9;14;6;37
20180917;2018;9;17;2;38
20180918;2018;9;18;3;38
20180919;2018;9;19;4;38
20180920;2018;9;20;5;38
20180921;2018;9;21;6;38
20180924;2018;9;24;2;39
20180925;2018;9;25;3;39
20180926;2018;9;26;4;39
20180927;2018;9;27;5;39
20180928;2018;9;28;6;39
20181001;2018;10;1;2;40
20181002;2018;10;2;3;40
20181003;2018;10;3;4;40
20181004;2018;10;4;5;40
20181005;2018;10;5;6;40
20181010;2018;10;10;4;41
20181011;2018;10;11;5;41
20181015;2018;10;15;2;42
20181016;2018;10;16;3;42
20181017;2018;10;17;4;42
20181023;2018;10;23;3;43
20181025;2018;10;25;5;43
